wid,Q0,Q1,Q2,Q3
w916d6f9,"No, they were just right","No, it was just right",No issues experienced,
w479789d,no,no,no,no
w75108ca,no,no,"yes, in the final round there were just two grey boxes, no images or text on every question","harder to remember than I thought it would be, the speed was fast"
w4d5aeed,instructions were good especially with trial / practice rounds,no,no,"enjoyed this , my memory is better than i thought"
w1aca63c,,,,This was a fun study. Thank you.
w250d28c,"No, just found it hard to recall",No,n/a,
w88143dc,,,,
w6c4e0a1,"no, relatively straight forward to understand",no,no,no
w15c019a,The instructions were clear.,No,No,
wd720054,No.  ,Yes.  For the reason below.  My memory skills are terrible but the last task was most frustrating as my selection would change for some reason when I went to type in the box.,The last task was difficult as the one I selected would change when I went to put the word in sometimes.,My memory is not what it used to be.
w615f46c,The instructions were clear except for part 3 where you asked for each selection to be shown twice which I may or may not have done and then it wasn't clear when the practice stopped and the exercise began,Using 4 keys for part 3 was a bit confusing and felt pressured even though had more time,No,None
w60e9de8,very easy to understand,no,no,no
w3f8e7b8,,,,
wcd0e3e8,quite long,no,no,
we096314,"the insructions were fine for me, no ambiguity and sufficient information. Except maybe that you could explain that the answers are case sensitive, I typed an answer with a capital first letter, (habit), and it said it was wrong, even though it was one of the answers I was pretty sure about, though there may have been another typo of course.","the only difficulty was the use of the J & K and D & D keys at the end, as it is timed and you need to take your finger off the keys to type if you aren't a touch typist, (and an accurate one), you are likely to lose a lot of time  repositioning your fingers and/or hit the wrong key.",None,"I was amazed at how many I thought I could remember after the second run through of the images, I tried to make up a mini phrase or story and I guess the reinforcement of the second run through really did work. I have issues remembering things and mild aphasia since I had a 'collapse/seizure'? doing this study has really given me a great deal of hope! Thanks for the confidence boost. Oh and I can't do maths, not even simple sums like those, not in that amount of time, and never have been able to!"
w2aa6654,Np,No,No,No
w1cec93f,they were quite easy to understand,no,no,enjoyed the tasks
w325c85a,no,no,no,
wfe25708,I thought it was fine. ,Nope.,Nope.,Believe I got a couple wrong in the first round due to spelling. 
w2814633,"for the last task it was a bit confusing, the practice didn't seem to match up with the real task as the box just appeared for me to type in.",not too bad,no,"I'm sure i got some of them correct, such as parsley for the desert island, but it said i was incorrect and i'm wondering if it's because autocorrect put a capital or a space after it? sure i got some typo's too, but don't get a bonus for those"
wc7ac439,,,,
w59cc02b,no they were fine,no,no technical issues,
w9622580,no instructions were clear and simple to understand,not at all,no,was quite fun
w7f3a565,No,No,No,"A lot of fun, I had hoped to remember more associations! Thank you for the opportunity."
w92fabda,it was hard to select in the last round,yes i did not know how to select in last round ,,
w7d4b7a5,No,"The last section was cumbersome/complex (two buttons two switch between images, two buttons for selecting images. Mouse would be better)",No,Hard
we0cf18f,long,no,no,no
w6c23a1b,,"I know that I got some of the last ones correct when it said incorrect, it could have been a spelling error but there were some I know were correct so that could be an interface issue",,
w7bb0065,easy to understand,easy to understand,none,good Study
w07fb9ec,No,No,No,No
w5664866,A couple of times I accidentally pressed the wrong key and therefore was unable to view the picture,no,No,IN the maths questions I couldn't type fast enough to put the answer before it timed out
wa59a9ea,Instruction were ok ,Easy to use ,,
w49f1777,nope!,not that bad relativity okay,nope,I get odd right but my spelling not that great
w2972c45,No it was easy to understand,It was simple to use,no technical difficulties,
w32d7ade,a little confusing. I would have preferred to have a shorter practice round with different pictures to start because in the first round I felt like I didn't know what I was doing,not really,no,
wdf1512c,"No, the instructions were reasonably easy to understand throughout. ",The keyboard controls in the last part of the study was a bit tricky at first and caused me to make a few mistakes but other than that no. ,None at all.,
w6346c50,Not at all,No,No,No
we429c48,no,no,no,
wc7ee78e,"No, it was all clear",No,No,No
w06c685d,No,No,None ,None 
w1c7a79e,"no - one you started using it, it was pretty intuitive",no,no,Just that I enjoyed it
w00571d2,No.,No.,No.,No.
w70000e7,,,,
w4f17373,,,,
wf13b8a2,No,Not sure about the selection letters,no,Had to really concentrate
w0bfae53,"The last section was hard to remember the buttons, a reminder would have been helpful on each page - e.g. which is left and which is right ",No ,No ,No
wac2b937,No I understood well enough.,No it was very simple.,No technical problems.,"I enjoyed the challenge,
Thank you."
w60ca012,Some of the instructions were confusing and not clear enough to understand.,,For the last task the answer box was not working properly and I had to press on random keys multiple times.,
w4842ccf,the last task was very hard to complete- it would only let me type a couple of times,as above,no,no
w5ef8c33,it would have been nice to see the instructions for the last task as its a lot to remember on the keyboard,no,no,"should take spelling into account, hard to type accurately fast"
w806ba1a,"No, there were just too many pictures.",No,No,No
w642e4dc,,,,
wd1a5682,No.,No.,No.,No.
w6f21a9b,They were too long,No,No,
wca19f1f,They were suitable,"the D, F and J, K a bit confusing at times",no,it was fun
w1f81ebf,No issues,"I think for the final test it might have been better to either leave a reminder of which buttons showed the image, or forced you to click on the image rather than pressing a button, since I sometimes accidentally clicked D or F first and wasn't able to see the images, so had to make a guess.",No issues,
w29e3561,"The instructions were pretty simple, but I read them carefully more than once for the longer ones in the final section to be sure I understood. ",No,No,This was fun! 
wc035d0f,No they were fine,"No, all fine to see",No,Nothing to add
w951cdb4,"no, all clear","no, very easy to use",no,didn't really feel the need to view both pictures in the last round because i think i memorized them all pretty well
w1d4dbc0,no,no,no,It was good brain practice
wf53ba99,Last section was ridiculous ,No,No,
w1460aa6,No they were clear and self-evident ,No,"No, none",None
w5b74468,Instructions were clear and I appreciate the practice runs.,no,no,Thanks
wfc24344,"no, they were clear",easy,no all is clear,im not as good at remembering as i thought
w7e32b50,,,,Some of this depended on knowing my own new keyboard quickly! 
w0d0a8dc,"No, only the last bit i struggled with controls which is why I did not complete the first few but after a few turns I was able to do so ",only the last one ,No,No
w1c24fdf,no,no,no,interesting
wd615ed8,no,no,no,no
wcf843a1,The instructions were ok.,Interface was not difficult to use.,Images all displayed well.,None
w26fdc77,No.,No.,Yes. The last exercise is case sensitive (and perhaps previous ones too). That's a bit harsh. I capitalised the initial letter of my answers but they were consistently coming up as incorrect... I thought maybe it might be a study where you were trying to knock my confidence by giving negative feedback or something. Then it occurred to me not to capitalise the initial letter... and I started getting told my answers were correct!,You need to review the results (and the rewards) due to the case sensitivity problem I identified above (and maybe give me a bonus for taking the time to tell you all this!)
wcd2c703,The instructions were clear and easy to understand.,No.,None.,Interesting study. Good luck with the data analysis.
wa500165,No,No,No,None
w25bc35f,,,,
w93a3c6f,,,,
wed00622,the 3rd stage was confusing,,,
wab8fd88,"no, they seemed to be fine",not really,none,
wb5868c2,,,,
w26a3729,Clear and understandable.,No,No,No
w778da54,,,,
wec8deae,No,no,No,None
w73f1bbc,they were easy enough to understand,no,no,
w0a1002f,No,No,No,No
w7f47e15,too long,yes,,It was difficult to keep my fingers on DFKL and type the word in time. 
w59af9dd,No,No,No,Enjoyed it
w4a8fbcc,I found them easy to understand,"No, it worked perfectly",No,
w9219fdd,,"Yes, the last round I couldn't work out how to do it",,
w25503fe,no,no,no,none thanks
w3c9cdb7,Easy to understand,Easy to use,None,Fun
w09b7c7c,,,,
wced820e,no,no,none,none
w20ebae6,"No, the instructions were fine ",not at all ,No ,Nothing to report 
we9c757f,I found them easy to understand,No,No,
w0239a98,the second phase instruction was a little not clear,,no,great memory test.
wca31a9a,Very clear but l needed more time to answer.,A little difficult,All was good and well presented,A good interesting study.
w78f2e61,No they were fine,I found it ok after a couple of tries,no everything was ok,Good luck with your study
we340898,not at all,"no, but would rather have different keys then D, F and J, K for the last exercise",no,
w1750622,NO,No,No,N/A
w8435ae3,no it was understandable ,no,none,nope 
w15c604e,No,No,No,None
w5313202,,,,
w25612b9,No they were simple and straight to the point.,No.,No.,No.
w366443e,No they were not.,No it was not.,No.,
w71f7a7f,,,,
wc0af1ad,"No, the instructions were clear and concise.","No, it was very easy to use.",None at all.,Very interesting and engaging survey.
w192b768,no clear,no,no,no
wa8001c6,instructions were very clear and easy to understand,no it was quite easy to use,no problems,
w07d45cd,The last exercise was confusing,last exercise wasn't simple,,
w0947183,,,No,
w133b153,Just the last bit.,No,No,No
w2d6050c,no,no,no,no
w27431d3,not at all,no,no,"I enjoyed it, thank you."
wba1f41e,no,no,"last exercise only let me press J, other image didn't work",none
w01c0de9,No they were fine thanks,Nope,No,It was good fun thanks
w46496e8,,,,
wf12acb0,"no, they were fine",it was easy,no,none
wbf9da71,no,no,no,enjoyed
waba5975,Seemed okay. ,It was hard when it switched to letter keys but soon understood.,No,Really tricky but fun study. 
w09df325,,,,
w59e0a21,"No, it was fine.","No, just not working properly.","My pc is new, I do not have any adblocker, but many times it just did not let me click on the image I want in the last section... and in the mathematical one it did not let me type properly... so the study was good, but it did not work properly 100%...","My pc is new, I do not have any adblocker, but many times it just did not let me click on the image I want in the last section... and in the mathematical one it did not let me type properly... so the study was good, but it did not work properly 100%..."
w10dc5df,The instructions were clear.,The interface was straightforward to use.,I experienced no technical issues. All images displayed correctly.,Thank you. I enjoyed taking part in this study. Good luck with your research.
w414f104,no,no,no,none
wddac1b0,Everything fine," I would have liked a couple more practice sessions for the last one, as I was a bit nervous about whether I had the jk and df letters down correctly or not",no trouble,thank you. that was fun!
w4a5b43b,no,no,no,none
w2563edf,"the beginning is hard to read because the font is too thin, and the instrructions with the keys took a while to understand ",no,no,thank you 
w58598f1,The confusing thing at the beginning was that it said practice or trial which made one think it was a dummy run to get one's bearings but it was actually the real first part of the study.,Not really,No technical issues encountered.,It was really hard but quite fun. Thanks.
w66ee00d,once I started it was easy to see what was expected ,no,no,this was fun! 
w24d236c,Everything was easy to understand. ,None it was very easy to use,None thank you. ,I did the best i can on this study this was a very hard task and surprised that I even got $ 0.34. Thank you and hope I can help. 
w201a474,No,No,No,
wcd8174e,no they were fine,"no, it was very easy to use.",no,a really fun survey
wa573c14,all good,all good,no issues,i did awful in the first round and i believe that my spelling was off for a couple. I should have done better
wdeadba7,no they were fine,easy to use,"yes the last question, all the boxes were just grey no words",
w887b523,The instructions were fine very understandable,No all smooth,No issues,"I enjoyed it, very challenging but enjoyable"
wf10cd3e,no,no,no,
w526b631,Instructions were fine. ,"No, just needed to think more for the last test to remember the keys. ",N/A,N/A
w934cb44,easy to understand,no,no,
w7004d2e,no.,no,no,no
w844761f,no,no,no,it was ok
w4ff105d,no,no,no,it was fun
wd13d55e,hard to understand,easy to use,No,No
w02b288f,The instructions were fine.,Interface was easy to use.,I had no technical issues.,This was an interesting and engaging task.
wc494d8c,no,no,no,no
w580ce02,,,,
w416ac0d,Easy to understand,Nope,Nope,
w9ccff27,,,,
w3c42f62,No,No,No,Harder than it looks ...
w05486f2,no it give enough information ,no pretty easy,no ,fun
wb86031d,no,ano,no,round 3 was difficult 
wbfa6d09,the instructions were just long enough to explain the task,no,no,
w103cd3c,They were fine. ,No,No,No
w4cd76fc,,,,
w219f296,I think overall the instructions could be simplified ,NA,The last task I could only see 2 grey squares and no images. ,NA
we581056,"Nope, all good.",Nope.,None.,I think I did pretty well.  I'm pretty sure I remembered all of them by the end.
w0e9c16a,No.,No.,No.,No.
w6dbf670,no,no,no,no
wc6f249d,,,,
w1e5a1c7,no apart from i missed the part about the math equations,yes the d/f /j/k keys slipped me up a few times,no,
wedc64be,"No, not at all",No,No,No
w02b8ca5,No,No,No,NO
w8611b7f,"No, they were just right",no,No,Interesting study :) 
w76a498f,"Easy to understand,",Easy to use,No technical problems,"No, thank you for the survey!"
w0970a83,alittle too long,yes,no,to much to remember
wb67a005,no,no,no,
w59e9ba3,,The last bit with the keyboard commands was a little tough to use speedily.,,Took some time to go over in my head the words the second time before the math and did way better after that. 
w9da8daf,N/A,N/A,N/A,N/A
w3c5ab04,no nothing was confusing,it was easy to use,no problems at all,nothing to add
wabc21b8,ok,no,no,difficult for old ladies like me!!
w379de48,no,no,no,
w1d44716,no,no,no,good fun
wc664155,No,I hit F to early once but that was really my fault,No,
w427bcb0,"They were not hard to understand but i could not remember the other letter to take me to the right hand side box to type the answer in so i could only remember the letter D that took me to the left hand box to type in my answer, therefore the ones i remembered in the tests before this one...i got them wrong because they was not in the correct box.","It was not difficult to see, it was very clear.","Yes, but i think that was because i was typing in D before J or K to see which box would light up for my answer to go in, and i was clicking on the letters next to D but that only resulted in the letters appearing in the box!!",I was frustrated as i thought that i could remember more than what i did then when some of the images came on my mind was blank. 
wb195350,No,No,No,
wd8d29f7,No they were fine,no,none,A really interesting survey
wb2fea0a,"The instructions for the final section were very confusing.    to flip from left to right using the J & K keys was straightforward but not the answering.     I understood i selected D and typed the correct word for J, but even though i was 100% sure i was correct, i got incorrect every time",No,NO,The instructions on the last section should have been repeated each screen
wd3ca488,no,no,no,none
w833853b,Easy,No,No,No
w5693d54,ok,no,no,
we6e2ec2,"not difficult, second section went on for a long time",no it was fine,n/a,n/a
w090de57,no,no,no,no
w83f20f8,"pretty easy to understand, but had to reread",no,no,
w79c06d6,"For the final task it was slightly confusing originally but I got the hang of it, I think more than one practice trial would help.",No.,No.,N/A
waf4a19b,no,no,no,no
w7916b17,No,No,No,No comments
w1fe493f,too long,not difficult,no,no
w3a5672c,did not have timet to rember how to enter my guesses and missedmost of them working out the correct keys,no,no,put the instructions up for teh 3rd part again for dummies like me
w291f301,Not too much,The swapping with jk and but answering with df tripped me up once,No,none
w6c64bb6,getting the hang of which letters to press and then typing fast enough was a sligh challenge,No,No,
w00a8412,no,no,none,good study
w0c43c6f,No,No,No,No
wfc077df,The second lot of memory test instructions were slightly confusing but I understood it in the end.,no,no,
wd624f5b,No,No,No,I memorised these by telling a story e.g. 'crystal' glasses in my kitchen
w034bfcb,No,No,No,No
wc21d158,I didn't know that I was not supposed to add capital letters to the start of a word. I kept getting them wrong until I stopped doing that. (e.g. cape not Cape),"No, I understand the last part was supposed to be harder, so the confusion I had at first was fine. ",No.,
wf6527de,No,"I don't think so, but see below.","YES! On the last round with the choice of photos, in practically every case the box failed to appear, making it impossible to enter the answer!",No.
w05baf25,No,"Yes.  The maths test was impossibky fast for soemone like me who is in her 60s and doesn't touch type.  Getting the answer was easy but there wasn't enough time to look down, locate the right keys on the keybpoard, type the answer and press enter, especially when the answer had 2 digits (one more keypress).",No,Not really
w6e892e8,,"It was mostly very good. I got a little muddled with the order of the DF and JK buttons in the last task - it might have been better to use the left and right arrows instead of JK, as this feels more intuitive.",,
w937143f,no,no easy,no,it was very hard
w115f5fe,,,,
we5120f7,No,No,No,None
w69b6028,"Not at all, they were really easy to understand.","Nope, not in the slightest.",None,"Nope, although it was fun actually!"
wbf4a939,no they were good and clear,no ,none,thank you for the opportunity. 
wdae4655,no,no,no,
w2876f1d,no,no,"Yes, the last test did not bring up any text boxes so it kept timing out",
wda53a42,,"I have arthritis and was a little too slow, especially on the math. This reflects a physical issue not my recall or ability to do math.",I had some browser alerts that popped into the screen causing occasional interference.,
w06c2c84,No,No,No,NA
wdc315a2,"They were clear, but they took a minute to understand.",no,no,n/a
wf4be0ee,no,no,no,no
w0610675,,,,
wb883ef5,no,no,no,got a bit confused then figured the last one
wa393fcc,no they were okay,good interface,no issues,Thanks.
w0d079c6,The instructions were easy to understand. ,No. ,No,Fun survey!
w74870a8,,the last tasks buttons seemed unintuitive. I would have assumed using J and k to select the images then simply using enter or space to select the one currently highlighted. Definitely misclicked 3-4 times by accident,Some images did not display at all,
w064dc5c,they were easy,It would be nice if the prompts stayed on the screen so u can remember its DF and JK ,No,it was quite tricky
w5d8fcab,no,the last section was a little i kept pressing wrong buttons,no,no
w93d04f2,no simple to understand,no,no,no
w159fed9,easy,ok,no,
w985aaa5,,,,found it engaging!
w308af71,No,No,No,
w8c97524,No,No,No,
webca119,They were generally OK.,No,No,I found this a good challenge
wa69a43d,"nothing, all clear",no,none,very interesting
w5cab57a,No they were not,No it was not,No,None
w6ecfa5d,It would be useful to have a key in the last task so you can remember what keys to press throughout. ,,,
w0357625,,,,
wc1dea90,No it was fine,No,No,None
w91e480f,no,no,no,none
wa5645bd,no,no,no,too hard for me but i tried!
wb788094,"The instructions for the last test were a little confusing, The option to have a few practice rounds before the actual test begun could help in future test.",No issues with the interface. ,None,
we03d16a,I thought the last - final test - was very confusing. Having to switch between J/K and then D/F was tricky and slowed me down.,No (but see above),No,I cannot remember the word for the sea-image (with the starfish) and it's driving me crazy.
w7f59609,,,,"I found it quite easy to memorise the word if I found something in the picture I could associate it to, for example imagining the river flowing into a pocket, or the plane blowing spaghetti out the engine. I think I also got 79 out of 80 in the second trial, but the one incorrect was a typo as I was trying to go as fast as possible, which was a bit of a bummer, I like a perfect score!"
w4385e0c,You should have kept the keys needed on display for the entire final round,no,no,This was far too hard for me and I struggled to remember more than 2 or 3. Far too many to remember.
web53400,No they were clear and concise,no it was fine to use,No,It was fun and interesting!
web5c064,the last one I didn't understand straight away,no,no,no
w53afbe4, A little confusing but not too bad,No,No,No
w3fff5c6,instructions were easy to understand,no issues,no technical issues.,no comments.
w8364d07,No,No,No,No
w820fed1,No,No,"I put my answer with a space eg: ""parent "" and got the answer wrong, when it was correct.",
wf889bb1,No,No,No,
w44aec3f,,,,
wf1e11d5,Understood but couldnt get the last section to work,Something wrong with the last section,No images sometimes and no text most of the time,Very long survey that didn't work well either
wb74dd64,The instructions were fine.,The interface was very easy to use.,I had no technical problems.,"Sorry that I did badly at first, but I managed to memorize more after the second time around."
wcb7e0f0,Too long,No,Slow at displaying,No
w694d13b,not really apart from the last bit with the 2 pictures,no,no,"fun study, frustrating not to be abl to remember many of the combinations"
w6541c50,I did have to concentrate to understand what you meant initially but after the first round I'd cottoned on,No not all,No,"Clearly I need to do some brain training!  My memory is awful!  Thank you, really enjoyed that!"
wf30b860,no,no,nothing,
web15e06,"Noe, they were simple.",No,"Yes, some images in round 2 didn't load or were sticking.",All the best with the results.
w3029089,"The instructions for the final task were a little confusing, took me a couple of tries to get it right.",no,no,no
w3bab4c0,,,,no
w4230c5b,no,no,no,
wa85a739,,,,
w9f48d54,they were fine,No,None,i forgot the correct keys to use in the last test initially but with trial and error (and a few timeouts) i worked it out
we11b732,yes,no,no,very difficult and long unless you have a fantastic memory
wff9fa8d,"no, easy to understand",no,no,
w3f17213,not at sll,no ,no,
w9bb9a56,easy to understand,no,no,no
